"sep=,"
id,payload_encoding,transceived_at,inserted_at,device_id,interface_id,payload,meta.ack,meta.adr_ack_req,meta.chan,meta.codr,meta.confirm,meta.data_rate,meta.datr,meta.dev_nonce,meta.frame_count_up,meta.frame_port,meta.frequency,meta.gateway_stats.router_id,meta.gateway_stats.router_id_hex,meta.gateway_stats.rssi,meta.gateway_stats.snr,meta.gateway_stats.tmst,meta.ipol,meta.lns_packet_uuid,meta.lorawan_toa_ms,meta.mac_commands,meta.modu,meta.powe,meta.region,meta.region_meta.bandwidth,meta.region_meta.bitrate,meta.region_meta.code,meta.region_meta.datarate,meta.region_meta.name,meta.region_meta.spreadingfactor,meta.rfch,meta.rx,meta.size,meta.stat
8245d91a-01d2-41eb-9e73-bf047bb217c3,binary,2021-03-16 10:59:02.093153Z,2021-03-16 10:59:02.115791Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,738,1,868.5,123656386776823,00007076FF020EF7,-118,2.0,1917480452,,8245d91a-01d2-41eb-9e73-bf047bb217c3,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
ffdce67a-f6ae-4e07-ba5a-c3ad3205ba71,binary,2021-03-16 10:58:53.888767Z,2021-03-16 10:58:53.911452Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,737,1,868.3,123656386776823,00007076FF020EF7,-119,3.0,1909272748,,ffdce67a-f6ae-4e07-ba5a-c3ad3205ba71,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
49d7bcf4-9138-459c-92f6-e48ae34c497c,binary,2021-03-16 10:58:45.670516Z,2021-03-16 10:58:45.696352Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,736,1,868.1,123656386776823,00007076FF020EF7,-120,3.0,1901065036,,49d7bcf4-9138-459c-92f6-e48ae34c497c,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
72576fee-feb7-4aad-9931-680145599923,binary,2021-03-16 10:58:37.470214Z,2021-03-16 10:58:37.488034Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,735,1,867.9,123656386776823,00007076FF020EF7,-118,2.5,1892857331,,72576fee-feb7-4aad-9931-680145599923,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
1a365174-e251-4b16-9c8a-72dc5efb2ce9,binary,2021-03-16 10:58:29.252437Z,2021-03-16 10:58:29.273733Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,734,1,867.7,123656386776823,00007076FF020EF7,-118,2.2,1884649611,,1a365174-e251-4b16-9c8a-72dc5efb2ce9,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
e49d753c-e7fc-4ecb-a0c6-740a86b50bcc,binary,2021-03-16 10:58:21.068742Z,2021-03-16 10:58:21.103885Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,733,1,867.5,123656386776823,00007076FF020EF7,-120,1.8,1876441931,,e49d753c-e7fc-4ecb-a0c6-740a86b50bcc,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
61bbe0a0-161d-4f57-a7f1-9c5334dd9005,binary,2021-03-16 10:58:12.851618Z,2021-03-16 10:58:13.090277Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,732,1,867.3,123656386776823,00007076FF020EF7,-117,2.5,1868234195,,61bbe0a0-161d-4f57-a7f1-9c5334dd9005,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
f956a592-5a0a-4d7c-b0ba-691757115ed3,binary,2021-03-16 10:58:04.628219Z,2021-03-16 10:58:04.648783Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,731,1,867.1,123656386776823,00007076FF020EF7,-119,2.8,1860026507,,f956a592-5a0a-4d7c-b0ba-691757115ed3,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
60737e75-0189-4521-9632-352f4dd31ba8,binary,2021-03-16 10:57:56.420782Z,2021-03-16 10:57:56.441137Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,730,1,868.5,123656386776823,00007076FF020EF7,-118,1.5,1851818772,,60737e75-0189-4521-9632-352f4dd31ba8,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
ae7548d1-1d68-4c03-a80a-245877205a66,binary,2021-03-16 10:57:48.240129Z,2021-03-16 10:57:48.262631Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,729,1,868.3,123656386776823,00007076FF020EF7,-119,3.2,1843611084,,ae7548d1-1d68-4c03-a80a-245877205a66,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
d0c7d979-b1a3-41e3-b4fe-181a7cf9212a,binary,2021-03-16 10:57:40.022512Z,2021-03-16 10:57:40.060039Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,728,1,868.1,123656386776823,00007076FF020EF7,-119,2.8,1835403380,,d0c7d979-b1a3-41e3-b4fe-181a7cf9212a,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
57aa1413-c267-4aae-a128-d35a15d164d3,binary,2021-03-16 10:57:32.019497Z,2021-03-16 10:57:32.041914Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,727,1,867.9,123656386776823,00007076FF020EF7,-120,1.5,1827195667,,57aa1413-c267-4aae-a128-d35a15d164d3,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
2be2c28d-6879-4d94-8d8a-e79ae95c2899,binary,2021-03-16 10:57:23.598311Z,2021-03-16 10:57:23.619045Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,726,1,867.7,123656386776823,00007076FF020EF7,-120,3.0,1818987955,,2be2c28d-6879-4d94-8d8a-e79ae95c2899,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
1c01bc4e-1868-4fd8-b9a4-cb4471c5d6f5,binary,2021-03-16 10:57:15.400618Z,2021-03-16 10:57:15.444411Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,725,1,867.5,123656386776823,00007076FF020EF7,-118,3.0,1810780259,,1c01bc4e-1868-4fd8-b9a4-cb4471c5d6f5,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
e132059e-d286-4292-8c73-85f5e25e2372,binary,2021-03-16 10:57:07.191215Z,2021-03-16 10:57:07.214984Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,724,1,867.3,123656386776823,00007076FF020EF7,-118,3.8,1802572571,,e132059e-d286-4292-8c73-85f5e25e2372,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
eee582f6-96e9-435e-85ad-c8043281f099,binary,2021-03-16 10:56:59.184837Z,2021-03-16 10:56:59.208954Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,723,1,867.1,123656386776823,00007076FF020EF7,-120,3.0,1794364859,,eee582f6-96e9-435e-85ad-c8043281f099,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
fac2e9b9-7843-40ef-9618-5320fa8c090b,binary,2021-03-16 10:56:50.764929Z,2021-03-16 10:56:50.793403Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,722,1,868.5,123656386776823,00007076FF020EF7,-120,2.2,1786157148,,fac2e9b9-7843-40ef-9618-5320fa8c090b,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
97d32ea7-e873-411c-a814-1a589ee49419,binary,2021-03-16 10:56:42.560214Z,2021-03-16 10:56:42.609084Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,721,1,868.3,123656386776823,00007076FF020EF7,-117,2.0,1777949452,,97d32ea7-e873-411c-a814-1a589ee49419,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
d81df7b2-2a60-4ce0-967a-bbd600223a82,binary,2021-03-16 10:56:34.347577Z,2021-03-16 10:56:34.369612Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,720,1,868.1,123656386776823,00007076FF020EF7,-120,2.8,1769741740,,d81df7b2-2a60-4ce0-967a-bbd600223a82,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
e359a438-c63b-4010-9b09-c7eea15cc8bd,binary,2021-03-16 10:56:26.157417Z,2021-03-16 10:56:26.180983Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,719,1,867.9,123656386776823,00007076FF020EF7,-119,2.5,1761534043,,e359a438-c63b-4010-9b09-c7eea15cc8bd,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
24264c6f-94ef-4dcd-a11d-55e61bd3abcd,binary,2021-03-16 10:56:17.926357Z,2021-03-16 10:56:17.950878Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,718,1,867.7,123656386776823,00007076FF020EF7,-117,2.8,1753326315,,24264c6f-94ef-4dcd-a11d-55e61bd3abcd,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
29efa0f3-d41a-4770-8900-2eeeb5146c21,binary,2021-03-16 10:56:09.944343Z,2021-03-16 10:56:09.965960Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,717,1,867.5,123656386776823,00007076FF020EF7,-120,2.2,1745118619,,29efa0f3-d41a-4770-8900-2eeeb5146c21,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
37756204-5943-411e-b175-83870c077500,binary,2021-03-16 10:56:01.519574Z,2021-03-16 10:56:01.555237Z,bc9fb74e-aca2-46c7-a9de-610be5219998,ab123d85-dbd0-4e23-8054-c5a1cf257647,000000000000000000000000000000000000000000000000,false,false,,4/5,false,5,SF7BW125,,716,1,867.3,123656386776823,00007076FF020EF7,-119,2.8,1736910899,,37756204-5943-411e-b175-83870c077500,82.176,,LORA,,eu863,125,5470,eu863,5,EU863,7,,,37,1
